"Val","N","Norm","STATUS_REASON","Category"
"CON",25193,1.749324379,"YOU DID NOT SUBMIT YOUR REQUEST THROUGH YOUR COUNSELOR, OR OTHER AUTHORIZED PERSON.","Level"
"LEG",24079,1.671971648,"Description not provided.","Other"
"MLT",23432,1.627045959,"YOU ARE APPEALING MORE THAN ONE INCIDENT REPORT (INCIDENT NUMBER) ON A SINGLE APPEAL FORM. YOU MUST FILE A SEPARATE APPEAL FOR EACH INCIDENT REPORT (INCIDENT NUMBER) YOU WISH TO APPEAL.","Forms"
"RAP",23048,1.600382181,"YOU DID NOT PROVIDE A COPY OF THE REGIONAL APPEAL, OR A RECEIPT, OR YOU DID NOT PROVIDE A VERIFIED PHOTOCOPY.","Forms"
"MEM",20659,1.434497374,"Description not provided.","Other"
"QUA",18982,1.318051656,"YOU DID NOT SUBMIT A COMPLETE SET (4 CARBONIZED COPIES) OF THE REQUEST OR APPEAL FORM.","Forms"
"DIR",18587,1.290624071,"Description not provided.","Other"
"UTA",18578,1.289999139,"YOUR APPEAL IS UNTIMELY. CENTRAL OFFICE APPEALS MUST BE RECEIVED WITHIN 30 DAYS OF THE REGIONAL DIRECTOR'S RESPONSE. THIS TIME LIMIT INCLUDES MAIL TIME.","Timely"
"ATT",10194,0.707839984,"Description not provided.","Other"
"DHR",10056,0.6982576888,"YOU MUST WAIT FOR THE DHO'S DECISION OF THE DHO HEARING BEFORE YOU MAY APPEAL TO THE REGIONAL OFFICE. RESUBMIT YOUR APPEAL TO THIS OFFICE WITHIN 20 DAYS OF THE DATE YOU RECEIVE THE DHO'S DECISION.","Level"
"IAT",5399,0.3748899425,"YOU DID NOT PROVIDE A COPY OF THE ATTACHMENT(S) TO YOUR INSTITUTION ADMINISTRATIVE REMEDY REQUEST (BP-9).","Forms"
"RJA",4341,0.3014256789,"Description not provided.","Other"
"RVW",2242,0.1556775794,"Description not provided.","Other"
"OBS",2009,0.1394987765,"YOUR REQUEST CONTAINS GRATUITOUS OBSCENE OR ABUSIVE LANGUAGE.","Language"
"PRV",1727,0.1199175645,"Description not provided.","Other"
"ENG",675,0.04686992243,"Description not provided.","Other"
"IMP",640,0.04443963015,"IMPROPER SUBJECT MATTER (FOI/PA REQUEST,ETC.)","Subject"
"RAT",536,0.03721819025,"YOU DID NOT PROVIDE A COPY OF THE ATTACHMENT(S) TO YOUR REGIONAL APPEAL.","Forms"
"CDC",496,0.03444071337,"YOU MUST WAIT FOR THE CCM'S DECISION OF THE CDC HEARING BEFORE YOU MAY APPEAL TO THE REGIONAL OFFICE. RESUBMIT YOUR APPEAL TO THIS OFFICE WITHIN 30 DAYS OF THE CCM'S DECISION.","Level"
"EXH",24,0.00167,"YOU DID NOT SUBMIT THE PROPER NUMBER OF EXHIBITS. YOU MUST SUBMIT ONE COPY AT THE WARDEN’S LEVEL; TWO COPIES AT THE REGIONAL DIRECTOR’S LEVEL; AND THREE COPIES AT THE CENTRAL OFFICE LEVEL.","Forms"
